[2021-11-30T16:49:08.491] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:49:31.154] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:53:36.254] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:53:37.937] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:55:09.463] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:56:19.140] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:56:58.778] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:58:25.931] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T16:59:16.397] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T17:01:25.529] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T17:16:02.204] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T17:20:16.969] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T17:20:54.634] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T21:21:03.735] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T21:23:52.160] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T21:31:05.669] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T21:31:45.818] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T22:13:05.282] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T22:14:42.080] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T22:17:15.357] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T22:25:21.656] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T22:30:26.185] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T22:42:40.359] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T22:58:32.080] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T22:58:59.698] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T23:06:11.991] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T23:15:44.267] [TRACE] ma-core - A user connected, Total users connected is: 
